job_id,title,company,work_mode,job_type,Skill_Set,Language,City,District,Country,Industry,Job_Title,Mapped_Skill_Set
4131800168,(Senior) Data Engineer / Analytics Engineer (all identities),Caspar Health,On-site,Full-time,"CI/CD, Python, SQL, Snowflake, Airflow, git, AWS",English,Berlin,Berlin,Germany,Product,Data Analyst,"Airflow, AWS, SQL, git, Python, Snowflake, CI/CD"
3802366407,Duales Studium Wirtschaftsinformatik (B.Sc.) am Campus oder virtuell ,IU International University of Applied Sciences,Unknown,Unknown,Java,German,Düsseldorf,North Rhine-Westphalia,Germany,Sales & Marketing,Other,Java
4150861993,Data Ops Engineer – Data Architecture & Modelling (m/f/d) ,Statista,Unknown,Unknown,"Airflow, SQL, Docker, AWS",English,Hamburg,Hamburg,Germany,Product,Data Engineer,"Airflow, Docker, AWS, SQL"
4001555685,Senior Data Engineer — (all genders),Circunomics,On-site,Full-time,"Docker, CI/CD, Kubernetes, Python, Cloud, Terraform, Airflow, AWS, ETL",English,Frankfurt,Hesse,Germany,Product,Data Engineer,"Airflow, ETL Tools, Docker, Terraform, AWS, Kubernetes, Python, GCP, CI/CD"
4145031313,Data Governance Engineer ,Canonical,Remote,Full-time,"Python, SQL",English,Unknown,Unknown,EMEA,Product,Data Engineer,"Python, SQL"
4148702786,Senior Data Engineer (m/f/d),Not Found,Unknown,Unknown,"CI/CD, Kubernetes, Python, SQL, Power BI, Lambda, Terraform, Kafka, ML, Spark, Tableau, dbt, AWS",English,Berlin,Berlin,Germany,Product,Data Engineer,"Power BI, ML, Lambda, Terraform, Kafka, AWS, Kubernetes, SQL, Python, Spark, dbt, Tableau, CI/CD"
4146359421,(Senior) Data Engineer (m/w/d) ,ERGO Group AG,On-site,Full-time,"Python, SQL",German,Düsseldorf,North Rhine-Westphalia,Germany,Sales & Marketing,Data Engineer,"Python, SQL"
4068278560,Senior Data Engineer (m/f/d),Project A,On-site,Full-time,"Spark, Databricks, Kafka",English,Berlin,Unknown,Germany,Sales & Marketing,Data Engineer,"Spark, Databricks, Kafka"
4118724275,Ausbildung zum Fachinformatiker Fachrichtung Anwendungsentwicklung (w|m|d) ,SWK AG,Unknown,Unknown,SAP,German,Krefeld,North Rhine-Westphalia,Germany,Sales & Marketing,Other,SAP
4149482985,IT System Engineer (*gn),VIER,On-site,Full-time,Cloud,German,Hannover,Lower Saxony,Germany,Sales & Marketing,Data Engineer,GCP
4169561851,Lead Analytics Engineer (f/m/d) ,E.ON Digital Technology,Hybrid,Full-time,"CI/CD, Python, SQL, Power BI, Databricks, Azure, Tableau, ETL processes, ETL tools, ETL",English,Hannover,Lower Saxony,Germany,Product,Data Analyst,"Power BI, ETL Tools, Databricks, SQL, Python, Azure, Tableau, CI/CD"
4159651150,Business Intelligence Developer mit Schwerpunkt ETL / Data Warehouse (m/w/d),"HENDRICKS, ROST & CIE. GmbH",On-site,Full-time,"SQL, Talend",German,Düsseldorf,North Rhine-Westphalia,Germany,Sales & Marketing,Other,"Talend, SQL"
4159643168,Data Engineer (m/w/d),CBTW,Hybrid,Full-time,"Docker, Java, Scala, Kubernetes, Oracle, SAP, Python, SQL, Talend, Kafka, Exasol, Azure, Jupyter, SAS, Spark, C#, AWS",German,Munich,Bavaria,Germany,Sales & Marketing,Data Engineer,"SAS, Docker, Scala, Java, Kafka, SQL, Kubernetes, Python, Spark, SAP, Talend, Azure, AWS, Exasol"
